city,lat,lon,mycount
mazar-i-sharif,36.7113366,67.1087511,2
kabul,34.5260131,69.1776476,8
kandahar,31.6257718,65.7144771,1
khost,33.3391402,69.9206359,1
kunduz,36.7175566,68.8672916,1
tirana,41.3279457,19.8185323,1
jijel,36.8167305,5.771494,1
sydney,-33.8548157,151.2164539,1
vienna,48.2083537,16.3725042,1
dhaka,23.7593572,90.3788136,12
dinajpur,25.6260712,88.6346228,1
gulshan,23.78998675,90.4116269628468,1
jhenaidah,23.541667,89.183333,3
panchagarh,26.3318393,88.5556768,1
rangpur,25.7569808,89.241459,4
tangail,24.2507265,89.9149441,1
brussels,50.8465573,4.351697,11
al-haram,29.4075,31.172778,8
alexandria,31.199004,29.894378,1
arish ,31.1272509,33.8045859,2
cairo,30.048819,31.243666,4
giza,30.0170059,31.2134513,6
sharm el-sheikh ,27.8669082,34.3014551,1
ethiopia,8.2048278,37.7940687,7
les mureaux,48.9958047,1.9090697,1
lyon,45.7578137,4.8320114,2
magnanville,48.9681039,1.6847431,1
nice,43.7009358,7.2683912,3
normandy,48.634816,-4.3826218,2
paris,48.8566101,2.3514992,24
ansbach,49.3028611,10.5722288,2
wurzburg,49.79245,9.932966,2
aceh,-3.9839496,103.3249505,1
jakarta,-6.1753942,106.827183,4
tehran,35.7006177,51.401375,8
abu ghurayb,33.307031,44.186945,1
al-furat,33.25766745,44.2690780375201,13
al-huwaysh,31.196782,45.425774,1
al-khayr,31.4468805,47.109994,42
al-qaim ,34.1558918,45.1179387,9
albu khamis ,32.263647,44.89658,1
albu shihab ,31.202002,46.303282,1
anah ,34.3725143,41.9858716,1
az-zubayr ,30.3917664,47.7027042,8
baghdad,33.3024309,44.3787992,38
balad,34.00131295,44.1527886421345,1
batush ,31.153241,45.857328,1
daquq,35.1379231,44.4463821,1
fallujah,33.3532137,43.7875674,24
hammam alil ,36.160449,43.245516,0
hizam,33.533333,45.566667,1
irbil ,36.1911624,44.0094652,3
ramadi,33.4205927,43.307505,15
karradah,33.3064948,44.4442763,1
kirkuk,35.4701099,44.3964846,17
mosul,36.3415843,43.1291386,27
ninawa,36.356544,43.170599,28
qayyarah ,32.416847,44.27404,1
rabiah ,32.2491134,45.8301259,6
rawah ,35.081981,43.101652,1
rutbah ,33.037183,40.285862,1
sadr city,33.3975903,44.4517644,2
salahuddin,36.382703,44.202575,28
samarra,34.2,43.9,26
sharqat ,35.5183136,43.2338281,1
sinjar,36.3192729,41.8598585,14
sinsil ,34.003057,44.8895155,1
tal abtah,35.9466023,42.56514,1
tal afar ,36.37901605,42.4429444252838,6
tikrit,34.615807,43.678606,18
zummar ,36.6610177,42.6011192726592,1
caesarea,32.5114971,34.9057861,1
jerusalem,31.778345,35.2250786,9
lydda,31.9427261,34.884778,2
